Date, Mid, High, Low
2019-11-12, 4.078175925546996, 4.166033011452111, 3.99354339783237
2019-11-11, 3.9961986192900008, 4.126609305064607, 3.87292982985533
2019-11-08, 3.945921784055523, 4.084083946770405, 3.816276473534837
2019-11-07, 3.8436668046822553, 3.910823700647705, 3.778350840366631
2019-11-06, 3.773704993539195, 3.819089694331869, 3.7291973553374915
2019-11-05, 3.7978344118296787, 3.862374484976736, 3.735176977006803
2019-11-04, 3.7890875100730224, 3.892601719855146, 3.690533086642891
2019-11-01, 3.8376343959940695, 3.906775669714286, 3.7704039087644725
2019-10-31, 3.81208643451733, 3.929835315858321, 3.7001084622680414
2019-10-30, 3.7755983394165664, 3.8835797119759254, 3.672705939524691
2019-10-29, 3.7356987895403164, 3.8369970978813557, 3.639174740619015
